domain,signals
0123tt.ru,api|app|docs|developer|developers|status|auth|dashboard|platform|console
0xrpc.io,api|app|docs|developer|developers|status|auth|dashboard|platform|console
10xscience.com,api|status
163.com,developer
1c.ru,developer|auth
1mg.com,api
1password.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
20minutes.fr,api|developers|status
2gis.com,docs
33across.com,platform
360.cn,api|app|developer
360yield.com,api|console
3bmeteo.com,api
a-mo.net,api|app|docs|developer|developers|status|auth|dashboard|platform|console
aadrm.com,api
abacus.ai,api|dashboard
abc.es,auth
abc.net.au,api
ably.com,docs|status
abola.pt,auth
abovedomains.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
abril.com.br,auth
academia.edu,api|docs|developer|developers|status|auth|dashboard|platform|console
accuweather.com,api|app|developer|status
acesso.gov.br,api
acm.org,api|auth
acs.org,api
actu.fr,api|auth
adaether.com,api
adjust.com,api|app|developer|developers|status|auth|dashboard|platform|console
admanmedia.com,api|docs|dashboard|console
adnxs.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
adobe.com,api|docs|developer|developers|status|platform
adobe.io,api|docs|developers|status|platform|console
adriver.ru,api
adrta.com,api
adsafeprotected.com,api|auth
adswizz.com,api|docs|status
afribaba.com,api
afternic.com,api
agenticfabriq.com,auth|dashboard
agoda.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
agora.io,api|docs|developer|status|dashboard|console
ahrefs.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
airbnb.com,api|developer|platform
airbyte.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
airtable.com,api|app|status
akamai.com,api|docs|developer|developers|status
akamaized.net,docs|dashboard
akismet.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
algolia.com,docs|status|dashboard
alibaba.com,api|app|docs|developer|auth
alidns.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
aliexpress.com,api|app|docs|developer|developers|status|auth|dashboard|platform|console
alipay.com,api|app|docs|developer|developers|status|auth|dashboard|console
alipaydns.com,auth
aliyun.com,api|app|docs|developer|status|console
aliyuncs.com,status
aljazeera.com,api
allaboutcookies.org,api
allegro.pl,api|developer|status
allus.ai,api
alphonso.tv,api|docs
amagi.tv,api|docs|console
amap.com,api|app|docs|developer|auth|platform|console
amazon.ca,api
amazon.co.jp,api
amazon.co.uk,api
amazon.com,api|docs|developer|developers
amazon.com.au,api
amazon.com.br,api
amazon.com.mx,api
amazon.de,api
amazon.dev,dashboard
amazon.es,api
amazon.fr,api
