domain,signal_score,signal_trust,signals,high_trust_signals,medium_trust_signals,low_trust_signals,wildcard_dns,wildcard_addresses
gigs.com,18,high,api|docs|developer|developers|auth|dashboard|status,api|docs|developer|developers|auth,dashboard,status,0,""
atlassian.com,16,high,api|docs|developer|developers|auth|status,api|docs|developer|developers|auth,"",status,0,""
contentful.com,15,high,api|docs|developers|auth|app|status,api|docs|developers|auth,app,status,0,""
dreamdata.io,15,high,api|docs|developer|auth|app|status,api|docs|developer|auth,app,status,0,""
fluidstack.io,15,high,docs|auth|platform|console|dashboard|status,docs|auth|platform|console,dashboard,status,0,""
gitbook.com,15,high,api|docs|developer|developers|app|status,api|docs|developer|developers,app,status,0,""
liv.tv,15,high,api|docs|developer|developers|dashboard|status,api|docs|developer|developers,dashboard,status,0,""
qonto.com,15,high,api|docs|developers|auth|app|status,api|docs|developers|auth,app,status,0,""
sumup.com,15,high,api|docs|developer|auth|dashboard|status,api|docs|developer|auth,dashboard,status,0,""
unbounce.com,15,high,api|docs|developer|developers|app|status,api|docs|developer|developers,app,status,0,""
yapily.com,15,high,api|docs|auth|console|dashboard|status,api|docs|auth|console,dashboard,status,0,""
brevo.com,14,high,api|developers|auth|app|dashboard|status,api|developers|auth,app|dashboard,status,0,""
intenseye.com,14,high,api|docs|auth|app|dashboard|status,api|docs|auth,app|dashboard,status,0,""
linkedin.com,14,high,api|developer|developers|platform|app,api|developer|developers|platform,app,"",0,""
moonpay.com,14,high,api|docs|auth|app|dashboard|status,api|docs|auth,app|dashboard,status,0,""
antavo.com,13,high,api|docs|developers|platform|status,api|docs|developers|platform,"",status,0,""
golocad.com,13,high,api|developer|auth|app|dashboard,api|developer|auth,app|dashboard,"",0,""
petsapp.com,13,high,api|docs|auth|app|dashboard,api|docs|auth,app|dashboard,"",0,""
telerik.com,13,high,api|docs|developer|developers|status,api|docs|developer|developers,"",status,0,""
ubermetrics-technologies.com,13,high,api|docs|developers|app|dashboard,api|docs|developers,app|dashboard,"",0,""
airgateway.com,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
attio.com,12,high,api|docs|developers|app|status,api|docs|developers,app,status,0,""
avatao.com,12,high,docs|developer|auth|platform,docs|developer|auth|platform,"","",0,""
bitpanda.com,12,high,api|developer|developers|app|status,api|developer|developers,app,status,0,""
chainalysis.com,12,high,api|docs|developers|app|status,api|docs|developers,app,status,0,""
clio.com,12,high,api|developer|developers|app|status,api|developer|developers,app,status,0,""
cyscale.com,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
enapi.com,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
fabric.so,12,high,api|docs|developers|auth,api|docs|developers|auth,"","",0,""
facebook.com,12,high,api|developer|developers|platform,api|developer|developers|platform,"","",0,""
holidu.com,12,high,api|developer|auth|app|status,api|developer|auth,app,status,0,""
linkup.so,12,high,api|docs|platform|app|status,api|docs|platform,app,status,0,""
matterway.io,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
mews.com,12,high,api|docs|developers|app|status,api|docs|developers,app,status,0,""
netbird.io,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
nexhealth.com,12,high,docs|developers|auth|app|status,docs|developers|auth,app,status,0,""
omnea.co,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
pathzero.com,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
pleo.io,12,high,api|developers|auth|app|status,api|developers|auth,app,status,0,""
powernaut.io,12,high,api|docs|console|app|status,api|docs|console,app,status,0,""
predium.de,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
simpleclub.com,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
superannotate.com,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
synthesia.io,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
tenderly.co,12,high,api|docs|auth|dashboard|status,api|docs|auth,dashboard,status,0,""
textcortex.com,12,high,api|docs|console|app|status,api|docs|console,app,status,0,""
tide.co,12,high,api|docs|developers|app|status,api|docs|developers,app,status,0,""
tzafon.ai,12,high,api|docs|auth|platform,api|docs|auth|platform,"","",0,""
userlane.com,12,high,api|docs|auth|dashboard|status,api|docs|auth,dashboard,status,0,""
usersnap.com,12,high,api|docs|platform|app|status,api|docs|platform,app,status,0,""
vestigas.com,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
visitoai.com,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
wayflyer.com,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
wealthkernel.com,12,high,api|docs|auth|dashboard|status,api|docs|auth,dashboard,status,0,""
zincwork.com,12,high,api|docs|auth|app|status,api|docs|auth,app,status,0,""
arcjet.com,11,high,api|docs|auth|app,api|docs|auth,app,"",0,""
authentified.co,11,high,api|docs|platform|app,api|docs|platform,app,"",0,""
autone.io,11,high,api|docs|auth|app,api|docs|auth,app,"",0,""
cabify.com,11,high,api|developers|auth|app,api|developers|auth,app,"",0,""
chattermill.com,11,high,api|docs|auth|app,api|docs|auth,app,"",0,""
