domain,name,source,icp_tier,icp_score,signal_score,signal_trust,tags,batch,team_size,location,one_liner,has_api,has_mcp,outreach_priority,outreach_reason,company_url
10pourcent.fr,10 Percent,speedinvest,ICP 2,8,6,high,Marketplaces & Consumer,2025,,France,"Building the infrastructure that lets FMCG brands own loyalty, data, and customer relationships, not the retailers.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.10pourcent.fr/
abhi.com.pk,Abhi,speedinvest,ICP 2,7,3,high,"Middle East, Africa & Beyond",2022,,Pakistan,Pakistan's first financial wellness platform focused on democratizing credit for both individuals and businesses.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://abhi.com.pk/
abwab.ai,Abwab.ai,speedinvest,ICP 2,7,5,high,"Middle East, Africa & Beyond",2025,,Saudi Arabia,AI-driven fintech platform that automates SME lending and credit decisions for banks and lenders across the Middle East and Africa.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://abwab.ai/
adeu.ai,adeu.ai,antler,ICP 2,8,5,high,B2B Software,2024,,Finland,Streamlining corporate transactions through intelligent workflow automation.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://adeu.ai
agamonhealth.com,Agamon Health,seedcamp,ICP 1,5,8,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://agamonhealth.com
agreena.com,Agreena,hv_capital,ICP 2,8,5,high,climate,growth,,"København, Denmark","Agreena unlocks the power of soil carbon removals and natural capital to finance the transition to regenerative agriculture. Working closely with partner farmers across 16 European markets and growing, AgreenaCarbon is the world’s leading soil carbon platform. With market-leading satellite monitoring technologies, Agreena’s solutions can support farmers, companies, and governments on the road to net zero.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://agreena.com/
agro.club,Agro.Club,speedinvest,ICP 2,7,3,high,"Middle East, Africa & Beyond",2020,,United States of America,Two-sided agricultural marketplace with embedded financial services.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://agro.club/
airgateway.com,AirGateway,htgf,ICP 1,7,12,high,"",,,Germany,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://airgateway.com/
alertmend.io,AlertMend.io,antler,ICP 2,7,5,high,B2B Software,2025,,Vietnam,An AI-driven platform that revolutionizes DevOps by automating incident management ensure zero downtime for businesses.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://alertmend.io/
altoida.com,altoida,b2venture,ICP 2,7,5,high,Healthcare,2019,,USA,"Altoida’s mission is to set a new gold standard in brain health. The company’s precision neurology platform is designed to accelerate and improve drug development, research, and care for people with neurological diseases, like Alzheimer’s, using data captured with a standard smartphone or tablet. Altoida’s technology platform uses artificial intelligence (AI) to analyze cognitive and functional test results and help diagnose neurological diseases, like Mild Cognitive Impairment (MCI) and Alzheimer’s.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://altoida.com/
amanvision.ai,Aman Vision,antler,ICP 2,7,5,high,B2B Software,2024,,Saudi Arabia,"Pioneering workplace safety with its AI-powered Environment, Health, and Safety (EHS) platform, tackling the global challenge of workplace accidents",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.amanvision.ai
ampere.cloud,Amperecloud,point_nine,ICP 2,9,8,high,Vertical Software|Climate & Energy,Series A,,"Berlin, Germany","Amperecloud builds the operating system for renewables: a central hub that connects data loggers, inverters, and meters to deliver real-time monitoring, anomaly detection, and reporting across solar portfolios. The platform streamlines operations so asset owners maximize yield and uptime.",1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://ampere.cloud/
andercore.com,Andercore,project_a,ICP 2,9,3,high,"",Pre-Seed,,Berlin,AI-powered industrial trade platform,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,https://www.andercore.com/
andisor.com,Andisor,antler,ICP 2,7,5,high,B2B Software,2021,,Australia,Andisor is a wholesale sourcing platform for multibrand retailers.,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://www.andisor.com
apperio.com,Apperio,seedcamp,ICP 1,5,8,high,"",,,,,1,0,high,Digital-first company with public API signal and no MCP endpoint detected,http://apperio.com
