domain,checked_url,final_url,http_status,fetch_error,shopify_detected,shopify_confidence,shopify_signals,checked_at
11-11-11.shop,https://11-11-11.shop,https://11-11-11.shop,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|shopify-payment-button|/cdn/shop/|shopify-section|shopify-features|shopify-pay,2026-03-16T14:32:14.268397+00:00
24x7familymart.com,https://24x7familymart.com,https://24x7familymart.com,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|/cdn/shop/|shopify-section|shopify-features,2026-03-16T14:32:14.268944+00:00
28black.in,https://28black.in,https://28black.in,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|/cdn/shop/|shopify-section|shopify-features,2026-03-16T14:32:14.269280+00:00
activefoods.sugarfit.com,https://activefoods.sugarfit.com,https://activefoods.sugarfit.com,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|/cdn/shop/|shopify-section|shopify-features,2026-03-16T14:32:14.269690+00:00
adenslab.com,https://www.adenslab.com/,https://www.adenslab.com/,200,,0,none,,2026-03-16T14:32:14.269881+00:00
alyahealth.com,https://alyahealth.com/,https://alyahealth.com/,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|/cdn/shop/|shop.app|shopify-section|shopify-features,2026-03-16T14:32:14.270090+00:00
amasar.net,https://amasar.net,https://amasar.net,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|shopify-payment-button|/cdn/shop/|shop.app|shopify-section|shopify-features|shopify-pay,2026-03-16T14:32:14.395524+00:00
andar.com,https://www.andar.com/,https://www.andar.com/,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|/cdn/shop/|shop.app|shopify-section|shopify-features,2026-03-16T14:32:14.395785+00:00
applyshift.co.uk,https://www.applyshift.co.uk,https://www.applyshift.co.uk,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|/cdn/shop/|shop.app|shopify-section|shopify-features,2026-03-16T14:32:14.396224+00:00
arsinoenatural.com,https://arsinoenatural.com,https://arsinoenatural.com,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|/cdn/shop/|shop.app|shopify-section|shopify-features,2026-03-16T14:32:14.396400+00:00
atvifit.com,https://www.atvifit.com,https://www.atvifit.com,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|/cdn/shop/|shopify-section|shopify-features,2026-03-16T14:32:14.412283+00:00
aussietraveller.com.au,https://aussietraveller.com.au/,https://aussietraveller.com.au/,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|/cdn/shop/|shop.app|shopify-features,2026-03-16T14:32:14.412086+00:00
baltea.lt,https://baltea.lt,https://baltea.lt,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|/cdn/shop/|shop.app|shopify-section|shopify-features,2026-03-16T14:32:14.593982+00:00
bespokepost.com,https://www.bespokepost.com/,https://www.bespokepost.com/,403,HTTPError: 403,0,none,,2026-03-16T14:32:14.735256+00:00
beyonddress.com,https://beyonddress.com,https://beyonddress.com,402,HTTPError: 402,1,high,cdn.shopify.com|myshopify.com|shop.app,2026-03-16T14:32:14.796213+00:00
bhswimwear.com,https://bhswimwear.com,https://bhswimwear.com,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|/cdn/shop/|shop.app|shopify-section|shopify-features,2026-03-16T14:32:14.856725+00:00
boujee.in,https://www.boujee.in,https://www.boujee.in,200,,1,high,cdn.shopify.com|myshopify.com|shopify.theme|shopify.routes|shopify.shop|/cdn/shop/|shopify-section|shopify-features,2026-03-16T14:32:14.970071+00:00
